Character,Vehicle,Tire,Glider,Speed_Land,Speed_Anti-G,Speed_Water,Speed_Gliding,Accel,Weight,Handling_Land,Handling_Anti-G,Handling_Water,Handling_Gliding,Traction,M-turbo,Invincib
Baby Peach / Baby Daisy,300 SL Roadster,Button / Leaf Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,2.5,2.5,2.5,4.5,1.25,5.0,5.25,4.5,5.0,3.75,5.0,4.0
Baby Peach / Baby Daisy,300 SL Roadster,Button / Leaf Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,2.5,2.25,2.75,4.25,1.75,5.0,5.0,4.75,4.75,3.5,4.75,4.25
Baby Peach / Baby Daisy,300 SL Roadster,Button / Leaf Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,2.5,2.25,2.5,4.5,1.5,5.0,5.0,4.75,5.0,3.5,5.0,4.0
Baby Peach / Baby Daisy,300 SL Roadster,Off-Road / Retro Off-Road / Triforce Tires,Super Glider / Waddle Wing / Hylian Kite,2.75,2.25,3.0,2.5,3.75,2.25,4.5,4.75,4.0,4.75,4.5,4.25,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Off-Road / Retro Off-Road / Triforce Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,2.5,3.0,2.25,4.0,2.0,4.5,4.75,4.0,5.0,4.5,4.5,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Off-Road / Retro Off-Road / Triforce Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,2.5,2.75,2.5,3.75,2.5,4.5,4.5,4.25,4.75,4.25,4.25,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Off-Road / Retro Off-Road / Triforce Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,2.5,2.75,2.25,4.0,2.25,4.5,4.5,4.25,5.0,4.25,4.5,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Cushion,Super Glider / Waddle Wing / Hylian Kite,2.25,2.0,2.25,3.25,4.0,1.75,4.75,4.75,4.0,5.0,4.5,4.75,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Cushion,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,2.25,2.25,3.0,4.25,1.5,4.75,4.75,4.0,5.25,4.5,5.0,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Cushion,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,2.25,2.0,3.25,4.0,2.0,4.75,4.5,4.25,5.0,4.25,4.75,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Cushion,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,2.25,2.0,3.0,4.25,1.75,4.75,4.5,4.25,5.25,4.25,5.0,4.75
Baby Peach / Baby Daisy,Pipe Frame,GLA Tires,Super Glider / Waddle Wing / Hylian Kite,2.25,1.75,2.75,2.5,4.5,1.75,5.5,5.25,5.0,4.75,4.5,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,GLA Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,2.0,2.75,2.25,4.75,1.5,5.5,5.25,5.0,5.0,4.5,5.0,4.25
Baby Peach / Baby Daisy,Pipe Frame,GLA Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,2.0,2.5,2.5,4.5,2.0,5.5,5.0,5.25,4.75,4.25,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,GLA Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,2.0,2.5,2.25,4.75,1.75,5.5,5.0,5.25,5.0,4.25,5.0,4.25
Baby Peach / Baby Daisy,Pipe Frame,Monster / Hot Monster,Super Glider / Waddle Wing / Hylian Kite,2.5,1.75,2.5,2.0,4.0,2.25,4.75,4.5,4.5,4.25,5.0,4.5,4.75
Baby Peach / Baby Daisy,Pipe Frame,Monster / Hot Monster,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.25,2.0,2.5,1.75,4.25,2.0,4.75,4.5,4.5,4.5,5.0,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,Monster / Hot Monster,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.5,2.0,2.25,2.0,4.0,2.5,4.75,4.25,4.75,4.25,4.75,4.5,4.75
Baby Peach / Baby Daisy,Pipe Frame,Monster / Hot Monster,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.25,2.0,2.25,1.75,4.25,2.25,4.75,4.25,4.75,4.5,4.75,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,Roller / Azure Roller,Super Glider / Waddle Wing / Hylian Kite,1.75,1.25,2.75,2.5,5.0,1.25,5.75,5.5,5.25,5.0,4.25,5.25,3.25
Baby Peach / Baby Daisy,Pipe Frame,Roller / Azure Roller,Cloud Glider / Parachute / Flower Glider / Paper Glider,1.5,1.5,2.75,2.25,5.25,1.0,5.75,5.5,5.25,5.25,4.25,5.5,3.0
Baby Peach / Baby Daisy,Pipe Frame,Roller / Azure Roller,Wario Wing / Plane Glider / Gold Glider / Paraglider,1.75,1.5,2.5,2.5,5.0,1.5,5.75,5.25,5.5,5.0,4.0,5.25,3.25
Baby Peach / Baby Daisy,Pipe Frame,Roller / Azure Roller,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,1.5,1.5,2.5,2.25,5.25,1.25,5.75,5.25,5.5,5.25,4.0,5.5,3.0
Baby Peach / Baby Daisy,Pipe Frame,Slim / Wood / Crimson Slim,Super Glider / Waddle Wing / Hylian Kite,2.5,2.25,2.5,2.25,4.0,1.75,5.75,5.25,5.25,5.0,3.5,4.5,4.5
Baby Peach / Baby Daisy,Pipe Frame,Slim / Wood / Crimson Slim,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.25,2.5,2.5,2.0,4.25,1.5,5.75,5.25,5.25,5.25,3.5,4.75,4.25
Baby Peach / Baby Daisy,Pipe Frame,Slim / Wood / Crimson Slim,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.5,2.5,2.25,2.25,4.0,2.0,5.75,5.0,5.5,5.0,3.25,4.5,4.5
Baby Peach / Baby Daisy,Pipe Frame,Slim / Wood / Crimson Slim,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.25,2.5,2.25,2.0,4.25,1.75,5.75,5.0,5.5,5.25,3.25,4.75,4.25
Baby Peach / Baby Daisy,Pipe Frame,Slick / Cyber Slick,Super Glider / Waddle Wing / Hylian Kite,2.75,2.25,2.0,1.75,3.75,2.0,5.25,5.0,4.25,4.25,3.25,4.25,4.5
Baby Peach / Baby Daisy,Pipe Frame,Slick / Cyber Slick,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,2.5,1.75,1.75,3.75,2.25,5.25,4.75,4.5,4.25,3.0,4.25,4.5
Baby Peach / Baby Daisy,Pipe Frame,Metal,Super Glider / Waddle Wing / Hylian Kite,2.75,1.5,2.75,2.25,3.5,2.25,5.25,4.75,4.75,4.0,3.75,4.25,4.75
Baby Peach / Baby Daisy,Pipe Frame,Metal,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,1.75,2.75,2.0,3.75,2.0,5.25,4.75,4.75,4.25,3.75,4.5,4.5
Baby Peach / Baby Daisy,Pipe Frame,Metal,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,1.75,2.5,2.25,3.5,2.5,5.25,4.5,5.0,4.0,3.5,4.25,4.75
Baby Peach / Baby Daisy,Pipe Frame,Metal,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,1.75,2.5,2.0,3.75,2.25,5.25,4.5,5.0,4.25,3.5,4.5,4.5
Baby Peach / Baby Daisy,Pipe Frame,Button / Leaf Tires,Super Glider / Waddle Wing / Hylian Kite,2.0,1.75,2.5,2.25,4.75,1.25,5.5,5.5,5.0,4.5,4.0,5.0,4.0
Baby Peach / Baby Daisy,Pipe Frame,Button / Leaf Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,1.75,2.0,2.5,2.0,5.0,1.0,5.5,5.5,5.0,4.75,4.0,5.25,3.75
Baby Peach / Baby Daisy,Pipe Frame,Button / Leaf Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.0,2.0,2.25,2.25,4.75,1.5,5.5,5.25,5.25,4.5,3.75,5.0,4.0
Baby Peach / Baby Daisy,Pipe Frame,Button / Leaf Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,1.75,2.0,2.25,2.0,5.0,1.25,5.5,5.25,5.25,4.75,3.75,5.25,3.75
Baby Peach / Baby Daisy,Pipe Frame,Off-Road / Retro Off-Road / Triforce Tires,Super Glider / Waddle Wing / Hylian Kite,2.5,1.75,3.0,2.0,4.25,2.0,5.0,5.0,4.5,4.5,4.75,4.5,4.75
Baby Peach / Baby Daisy,Pipe Frame,Off-Road / Retro Off-Road / Triforce Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.25,2.0,3.0,1.75,4.5,1.75,5.0,5.0,4.5,4.75,4.75,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,Off-Road / Retro Off-Road / Triforce Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.5,2.0,2.75,2.0,4.25,2.25,5.0,4.75,4.75,4.5,4.5,4.5,4.75
Baby Peach / Baby Daisy,Pipe Frame,Off-Road / Retro Off-Road / Triforce Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.25,2.0,2.75,1.75,4.5,2.0,5.0,4.75,4.75,4.75,4.5,4.75,4.5
Baby Peach / Baby Daisy,Pipe Frame,Cushion,Super Glider / Waddle Wing / Hylian Kite,2.0,1.5,2.25,2.75,4.5,1.5,5.25,5.0,4.5,4.75,4.75,5.0,4.75
Baby Peach / Baby Daisy,Pipe Frame,Cushion,Cloud Glider / Parachute / Flower Glider / Paper Glider,1.75,1.75,2.25,2.5,4.75,1.25,5.25,5.0,4.5,5.0,4.75,5.25,4.5
Baby Peach / Baby Daisy,Pipe Frame,Cushion,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.0,1.75,2.0,2.75,4.5,1.75,5.25,4.75,4.75,4.75,4.5,5.0,4.75
Baby Peach / Baby Daisy,Pipe Frame,Cushion,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,1.75,1.75,2.0,2.5,4.75,1.5,5.25,4.75,4.75,5.0,4.5,5.25,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,GLA Tires,Super Glider / Waddle Wing / Hylian Kite,2.5,2.75,2.75,3.25,3.75,2.25,4.75,5.25,4.5,4.75,4.5,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,GLA Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.25,3.0,2.75,3.0,4.0,2.0,4.75,5.25,4.5,5.0,4.5,4.75,4.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,GLA Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.5,3.0,2.5,3.25,3.75,2.5,4.75,5.0,4.75,4.75,4.25,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,GLA Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.25,3.0,2.5,3.0,4.0,2.25,4.75,5.0,4.75,5.0,4.25,4.75,4.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Monster / Hot Monster,Super Glider / Waddle Wing / Hylian Kite,2.75,2.75,2.5,2.75,3.25,2.75,4.0,4.5,4.0,4.25,5.0,4.25,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Monster / Hot Monster,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,3.0,2.5,2.5,3.5,2.5,4.0,4.5,4.0,4.5,5.0,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Monster / Hot Monster,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,3.0,2.25,2.75,3.25,3.0,4.0,4.25,4.25,4.25,4.75,4.25,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Monster / Hot Monster,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,3.0,2.25,2.5,3.5,2.75,4.0,4.25,4.25,4.5,4.75,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Roller / Azure Roller,Super Glider / Waddle Wing / Hylian Kite,2.0,2.25,2.75,3.25,4.25,1.75,5.0,5.5,4.75,5.0,4.25,5.0,3.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Roller / Azure Roller,Cloud Glider / Parachute / Flower Glider / Paper Glider,1.75,2.5,2.75,3.0,4.5,1.5,5.0,5.5,4.75,5.25,4.25,5.25,3.0
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Roller / Azure Roller,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.0,2.5,2.5,3.25,4.25,2.0,5.0,5.25,5.0,5.0,4.0,5.0,3.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Roller / Azure Roller,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,1.75,2.5,2.5,3.0,4.5,1.75,5.0,5.25,5.0,5.25,4.0,5.25,3.0
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slim / Wood / Crimson Slim,Super Glider / Waddle Wing / Hylian Kite,2.75,3.25,2.5,3.0,3.25,2.25,5.0,5.25,4.75,5.0,3.5,4.25,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slim / Wood / Crimson Slim,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,3.5,2.5,2.75,3.5,2.0,5.0,5.25,4.75,5.25,3.5,4.5,4.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slim / Wood / Crimson Slim,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,3.5,2.25,3.0,3.25,2.5,5.0,5.0,5.0,5.0,3.25,4.25,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slim / Wood / Crimson Slim,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,3.5,2.25,2.75,3.5,2.25,5.0,5.0,5.0,5.25,3.25,4.5,4.25
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slick / Cyber Slick,Super Glider / Waddle Wing / Hylian Kite,3.0,3.25,2.0,2.5,3.0,2.5,4.5,5.0,3.75,4.25,3.25,4.0,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Slick / Cyber Slick,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,3.5,1.75,2.5,3.0,2.75,4.5,4.75,4.0,4.25,3.0,4.0,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Metal,Super Glider / Waddle Wing / Hylian Kite,3.0,2.5,2.75,3.0,2.75,2.75,4.5,4.75,4.25,4.0,3.75,4.0,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Metal,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.75,2.75,2.75,2.75,3.0,2.5,4.5,4.75,4.25,4.25,3.75,4.25,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Metal,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,2.75,2.5,3.0,2.75,3.0,4.5,4.5,4.5,4.0,3.5,4.0,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Metal,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.75,2.75,2.5,2.75,3.0,2.75,4.5,4.5,4.5,4.25,3.5,4.25,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Button / Leaf Tires,Super Glider / Waddle Wing / Hylian Kite,2.25,2.75,2.5,3.0,4.0,1.75,4.75,5.5,4.5,4.5,4.0,4.75,4.0
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Button / Leaf Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,3.0,2.5,2.75,4.25,1.5,4.75,5.5,4.5,4.75,4.0,5.0,3.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Button / Leaf Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,3.0,2.25,3.0,4.0,2.0,4.75,5.25,4.75,4.5,3.75,4.75,4.0
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Button / Leaf Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,3.0,2.25,2.75,4.25,1.75,4.75,5.25,4.75,4.75,3.75,5.0,3.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Off-Road / Retro Off-Road / Triforce Tires,Super Glider / Waddle Wing / Hylian Kite,2.75,2.75,3.0,2.75,3.5,2.5,4.25,5.0,4.0,4.5,4.75,4.25,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Off-Road / Retro Off-Road / Triforce Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,3.0,3.0,2.5,3.75,2.25,4.25,5.0,4.0,4.75,4.75,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Off-Road / Retro Off-Road / Triforce Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,3.0,2.75,2.75,3.5,2.75,4.25,4.75,4.25,4.5,4.5,4.25,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Off-Road / Retro Off-Road / Triforce Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,3.0,2.75,2.5,3.75,2.5,4.25,4.75,4.25,4.75,4.5,4.5,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Cushion,Super Glider / Waddle Wing / Hylian Kite,2.25,2.5,2.25,3.5,3.75,2.0,4.5,5.0,4.0,4.75,4.75,4.75,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Cushion,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,2.75,2.25,3.25,4.0,1.75,4.5,5.0,4.0,5.0,4.75,5.0,4.5
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Cushion,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,2.75,2.0,3.5,3.75,2.25,4.5,4.75,4.25,4.75,4.5,4.75,4.75
Baby Peach / Baby Daisy,Mach 8 / Sports Coupe,Cushion,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,2.75,2.0,3.25,4.0,2.0,4.5,4.75,4.25,5.0,4.5,5.0,4.5
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,GLA Tires,Super Glider / Waddle Wing / Hylian Kite,2.75,2.0,3.25,2.25,3.25,2.5,4.5,4.5,5.25,4.5,4.25,4.0,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,GLA Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,2.25,3.25,2.0,3.5,2.25,4.5,4.5,5.25,4.75,4.25,4.25,5.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,GLA Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,2.25,3.0,2.25,3.25,2.75,4.5,4.25,5.5,4.5,4.0,4.0,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,GLA Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,2.25,3.0,2.0,3.5,2.5,4.5,4.25,5.5,4.75,4.0,4.25,5.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Monster / Hot Monster,Super Glider / Waddle Wing / Hylian Kite,3.0,2.0,3.0,1.75,2.75,3.0,3.75,3.75,4.75,4.0,4.75,3.75,5.5
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Monster / Hot Monster,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.75,2.25,3.0,1.5,3.0,2.75,3.75,3.75,4.75,4.25,4.75,4.0,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Monster / Hot Monster,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,2.25,2.75,1.75,2.75,3.25,3.75,3.5,5.0,4.0,4.5,3.75,5.5
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Monster / Hot Monster,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.75,2.25,2.75,1.5,3.0,3.0,3.75,3.5,5.0,4.25,4.5,4.0,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Roller / Azure Roller,Super Glider / Waddle Wing / Hylian Kite,2.25,1.5,3.25,2.25,3.75,2.0,4.75,4.75,5.5,4.75,4.0,4.5,4.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Roller / Azure Roller,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.0,1.75,3.25,2.0,4.0,1.75,4.75,4.75,5.5,5.0,4.0,4.75,3.75
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Roller / Azure Roller,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.25,1.75,3.0,2.25,3.75,2.25,4.75,4.5,5.75,4.75,3.75,4.5,4.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Roller / Azure Roller,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.0,1.75,3.0,2.0,4.0,2.0,4.75,4.5,5.75,5.0,3.75,4.75,3.75
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slim / Wood / Crimson Slim,Super Glider / Waddle Wing / Hylian Kite,3.0,2.5,3.0,2.0,2.75,2.5,4.75,4.5,5.5,4.75,3.25,3.75,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slim / Wood / Crimson Slim,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.75,2.75,3.0,1.75,3.0,2.25,4.75,4.5,5.5,5.0,3.25,4.0,5.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slim / Wood / Crimson Slim,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,2.75,2.75,2.0,2.75,2.75,4.75,4.25,5.75,4.75,3.0,3.75,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slim / Wood / Crimson Slim,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.75,2.75,2.75,1.75,3.0,2.5,4.75,4.25,5.75,5.0,3.0,4.0,5.0
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slick / Cyber Slick,Super Glider / Waddle Wing / Hylian Kite,3.25,2.5,2.5,1.5,2.5,2.75,4.25,4.25,4.5,4.0,3.0,3.5,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Slick / Cyber Slick,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.25,2.75,2.25,1.5,2.5,3.0,4.25,4.0,4.75,4.0,2.75,3.5,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Metal,Super Glider / Waddle Wing / Hylian Kite,3.25,1.75,3.25,2.0,2.25,3.0,4.25,4.0,5.0,3.75,3.5,3.5,5.5
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Metal,Cloud Glider / Parachute / Flower Glider / Paper Glider,3.0,2.0,3.25,1.75,2.5,2.75,4.25,4.0,5.0,4.0,3.5,3.75,5.25
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Metal,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.25,2.0,3.0,2.0,2.25,3.25,4.25,3.75,5.25,3.75,3.25,3.5,5.5
Baby Peach / Baby Daisy,Steel Driver / Tri-Speeder,Metal,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,3.0,2.0,3.0,1.75,2.5,3.0,4.25,3.75,5.25,4.0,3.25,3.75,5.25
