Character,Vehicle,Tire,Glider,Speed_Avg,Speed_Min,Accel,Weight,Handling_Avg,Handling_Min,Traction,M-turbo,Invincib
Baby Peach = Baby Daisy,Pipe Frame,GLA Tires,Super Glider = Waddle Wing = Hylian Kite,2.3125,1.75,4.5,1.75,5.125,4.75,4.5,4.75,4.5
Baby Peach = Baby Daisy,Pipe Frame,GLA Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.25,2.0,4.75,1.5,5.1875,5.0,4.5,5.0,4.25
Baby Peach = Baby Daisy,Pipe Frame,GLA Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.3125,2.0,4.5,2.0,5.125,4.75,4.25,4.75,4.5
Baby Peach = Baby Daisy,Pipe Frame,GLA Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.1875,2.0,4.75,1.75,5.1875,5.0,4.25,5.0,4.25
Baby Peach = Baby Daisy,Pipe Frame,Monster = Hot Monster,Super Glider = Waddle Wing = Hylian Kite,2.1875,1.75,4.0,2.25,4.5,4.25,5.0,4.5,4.75
Baby Peach = Baby Daisy,Pipe Frame,Monster = Hot Monster,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.125,1.75,4.25,2.0,4.5625,4.5,5.0,4.75,4.5
Baby Peach = Baby Daisy,Pipe Frame,Monster = Hot Monster,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.1875,2.0,4.0,2.5,4.50,4.25,4.75,4.5,4.75
Baby Peach = Baby Daisy,Pipe Frame,Monster = Hot Monster,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.0625,1.75,4.25,2.25,4.5625,4.25,4.75,4.75,4.5
Baby Peach = Baby Daisy,Pipe Frame,Ancient Tires,Super Glider = Waddle Wing = Hylian Kite,2.1875,1.75,4.0,2.25,4.5,4.25,5.0,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Ancient Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.125,1.75,4.25,2.0,4.5625,4.5,5.0,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Ancient Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.1875,2.0,4.0,2.5,4.50,4.25,4.75,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Ancient Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.0625,1.75,4.25,2.25,4.5625,4.25,4.75,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Roller = Azure Roller,Super Glider = Waddle Wing = Hylian Kite,2.0625,1.25,5.0,1.25,5.375,5.0,4.25,5.25,3.25
Baby Peach = Baby Daisy,Pipe Frame,Roller = Azure Roller,Cloud Glider = Parachute = Flower Glider = Paper Glider,2,1.5,5.25,1.0,5.4375,5.25,4.25,5.5,3.0
Baby Peach = Baby Daisy,Pipe Frame,Roller = Azure Roller,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.0625,1.5,5.0,1.5,5.375,5.0,4.0,5.25,3.25
Baby Peach = Baby Daisy,Pipe Frame,Roller = Azure Roller,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,1.9375,1.5,5.25,1.25,5.4375,5.25,4.0,5.5,3.0
Baby Peach = Baby Daisy,Pipe Frame,Slim = Wood = Crimson Slim,Super Glider = Waddle Wing = Hylian Kite,2.375,2.25,4.0,1.75,5.3125,5.0,3.5,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Slim = Wood = Crimson Slim,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.3125,2.0,4.25,1.5,5.38,5.25,3.5,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Slim = Wood = Crimson Slim,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.375,2.25,4.0,2.0,5.3125,5.0,3.25,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Slim = Wood = Crimson Slim,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.25,2.0,4.25,1.75,5.375,5.0,3.25,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Slick = Cyber Slick,Super Glider = Waddle Wing = Hylian Kite,2.1875,1.75,3.75,2.0,4.6875,4.25,3.25,4.25,4.5
Baby Peach = Baby Daisy,Pipe Frame,Slick = Cyber Slick,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.1,1.5,4.0,1.75,4.75,4.25,3.25,4.5,4.25
Baby Peach = Baby Daisy,Pipe Frame,Slick = Cyber Slick,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.1875,1.75,3.75,2.25,4.6875,4.25,3.0,4.25,4.5
Baby Peach = Baby Daisy,Pipe Frame,Slick = Cyber Slick,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.0625,1.5,4.0,2.0,4.75,4.5,3.0,4.5,4.25
Baby Peach = Baby Daisy,Pipe Frame,Metal,Super Glider = Waddle Wing = Hylian Kite,2.3125,1.5,3.5,2.25,4.6875,4.0,3.75,4.25,4.75
Baby Peach = Baby Daisy,Pipe Frame,Metal,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.25,1.75,3.75,2.0,4.75,4.25,3.75,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Metal,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.3125,1.75,3.5,2.5,4.6875,4.0,3.5,4.25,4.75
Baby Peach = Baby Daisy,Pipe Frame,Metal,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.1875,1.75,3.75,2.25,4.75,4.25,3.5,4.5,4.5
Baby Peach = Baby Daisy,Pipe Frame,Gold Tires,Super Glider = Waddle Wing = Hylian Kite,2.3125,1.5,3.5,2.25,4.6875,4.0,3.75,4.25,4.5
Baby Peach = Baby Daisy,Pipe Frame,Gold Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.25,1.75,3.75,2.0,4.75,4.25,3.75,4.5,4.25
Baby Peach = Baby Daisy,Pipe Frame,Gold Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.3125,1.75,3.5,2.5,4.6875,4.0,3.5,4.25,4.5
Baby Peach = Baby Daisy,Pipe Frame,Gold Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.1875,1.75,3.75,2.25,4.75,4.25,3.5,4.5,4.25
